INFO:root:-----------------------------------Start of the new Session at Mon Oct  8 14:28:35 2018-------------------------------
DEBUG:root:102, 1001, broadcasting, data, 2311
DEBUG:root:103, 1003, broadcasting, data, 99904
DEBUG:root:103,1003, received, block, 99904
DEBUG:root:103,1003, interrupted, block, 99904 
INFO:root:No of blocks in node 1003 is 4
DEBUG:root:103, 1001, Created, block, 99905
INFO:root:No of blocks in node 1001 is 4
DEBUG:root:103, 1001, broadcasting, data, 99905
DEBUG:root:103, 1001, broadcasting, data, 99904
DEBUG:root:103,1001, received, block, 99904
DEBUG:root:103,1001, interrupted, block, 99904 
INFO:root:No of blocks in node 1001 is 5
DEBUG:root:103, 1003, broadcasting, data, 99905
DEBUG:root:103,1003, received, block, 99905
DEBUG:root:103,1003, interrupted, block, 99905 
INFO:root:No of blocks in node 1003 is 5
DEBUG:root:104, 1002, broadcasting, data, 99905
DEBUG:root:104,1002, received, block, 99905
DEBUG:root:104,1002, interrupted, block, 99905 
INFO:root:No of blocks in node 1002 is 5
DEBUG:root:105,1000,received,transaction,2311 
DEBUG:root:105, 1000, broadcasting, data, 2311
DEBUG:root:106, 1000, broadcasting, data, 99904
DEBUG:root:106,1000, received, block, 99904
DEBUG:root:106,1000, interrupted, block, 99904 
INFO:root:No of blocks in node 1000 is 4
DEBUG:root:107, 1000, broadcasting, data, 99905
DEBUG:root:107,1000, received, block, 99905
DEBUG:root:107,1000, interrupted, block, 99905 
INFO:root:No of blocks in node 1000 is 5
DEBUG:root:111, 1001,Appended, Transaction, 2312
DEBUG:root:111, 1001, broadcasting, data, 2312
DEBUG:root:111,1003,received,transaction,2312 
DEBUG:root:111, 1003, broadcasting, data, 2312
DEBUG:root:112,1002,received,transaction,2312 
DEBUG:root:112, 1002, broadcasting, data, 2312
DEBUG:root:115,1000,received,transaction,2312 
DEBUG:root:115, 1000, broadcasting, data, 2312
DEBUG:root:120, 1002,Appended, Transaction, 2313
DEBUG:root:120, 1002, broadcasting, data, 2313
DEBUG:root:121,1003,received,transaction,2313 
DEBUG:root:121, 1003, broadcasting, data, 2313
DEBUG:root:121,1001,received,transaction,2313 
DEBUG:root:121, 1001, broadcasting, data, 2313
DEBUG:root:124,1000,received,transaction,2313 
DEBUG:root:124, 1000, broadcasting, data, 2313
DEBUG:root:130, 1001,Appended, Transaction, 2314
DEBUG:root:130, 1001, broadcasting, data, 2314
DEBUG:root:130,1003,received,transaction,2314 
DEBUG:root:130, 1003, broadcasting, data, 2314
DEBUG:root:131, 1001, Created, block, 99906
INFO:root:No of blocks in node 1001 is 6
DEBUG:root:131, 1001, broadcasting, data, 99906
DEBUG:root:131, 1003, Created, block, 99907
INFO:root:No of blocks in node 1003 is 6
DEBUG:root:131, 1003, broadcasting, data, 99907
DEBUG:root:131, 1003, broadcasting, data, 99906
DEBUG:root:131,1003, received, block, 99906
DEBUG:root:131,1003, interrupted, block, 99906 
INFO:root:No of blocks in node 1003 is 7
DEBUG:root:131, 1001, broadcasting, data, 99907
DEBUG:root:131,1001, received, block, 99907
DEBUG:root:131,1001, interrupted, block, 99907 
INFO:root:No of blocks in node 1001 is 7
DEBUG:root:131,1002,received,transaction,2314 
DEBUG:root:131, 1002, broadcasting, data, 2314
DEBUG:root:132, 1002, Created, block, 99908
INFO:root:No of blocks in node 1002 is 6
DEBUG:root:132, 1002, broadcasting, data, 99908
DEBUG:root:132, 1002, broadcasting, data, 99907
DEBUG:root:132,1002, received, block, 99907
DEBUG:root:132,1002, interrupted, block, 99907 
INFO:root:No of blocks in node 1002 is 7
DEBUG:root:132, 1002, broadcasting, data, 99906
DEBUG:root:132,1002, received, block, 99906
DEBUG:root:132,1002, interrupted, block, 99906 
